user_id	video_id
688180	TV235
688180	TV215
688180	TV204
688180	TV232
688180	TV216
688180	TV159
655296	TV248
655296	TV185
655296	TV189
655296	TV215
655296	TV266
655296	TV231
765640	TV248
765640	TV185
765640	TV231
765640	TV237
765640	TV232
765640	TV276
315084	TV214
315084	TV215
315084	TV231
315084	TV204
315084	TV237
315084	TV232
310481	TV189
310481	TV215
310481	TV266
310481	TV204
310481	TV253
310481	TV138
372907	TV248
372907	TV239
372907	TV128
372907	TV185
372907	TV215
372907	TV266
346944	TV248
346944	TV189
346944	TV266
346944	TV237
346944	TV232
346944	TV253
744184	TV185
744184	TV189
744184	TV214
744184	TV259
744184	TV237
744184	TV216
417215	TV248
417215	TV189
417215	TV214
417215	TV215
417215	TV259
417215	TV266
347999	TV248
347999	TV239
347999	TV235
347999	TV214
347999	TV259
347999	TV266
700452	TV259
700452	TV569
700452	TV202
700452	TV252
700452	TV138
700452	TV003
738849	TV185
738849	TV231
738849	TV204
738849	TV216
738849	TV569
738849	TV221
584760	TV239
584760	TV185
584760	TV214
584760	TV259
584760	TV266
584760	TV231
341909	TV189
341909	TV214
341909	TV215
341909	TV231
341909	TV237
341909	TV232
384847	TV239
384847	TV234
384847	TV128
384847	TV235
384847	TV214
384847	TV215
397579	TV215
397579	TV231
397579	TV237
397579	TV232
397579	TV569
397579	TV221
490366	TV248
490366	TV128
490366	TV185
490366	TV189
490366	TV235
490366	TV215
600654	TV248
600654	TV214
600654	TV231
600654	TV249
600654	TV003
600654	TV111
260005	TV248
260005	TV128
260005	TV185
260005	TV189
260005	TV259
260005	TV231
376447	TV185
376447	TV214
376447	TV266
376447	TV569
376447	TV253
376447	TV252
633709	TV185
633709	TV189
633709	TV266
633709	TV231
633709	TV204
633709	TV237
419713	TV185
419713	TV189
419713	TV231
419713	TV237
419713	TV216
419713	TV276
6491	TV235
6491	TV259
6491	TV266
6491	TV237
6491	TV276
6491	TV569
68079	TV185
68079	TV189
68079	TV215
68079	TV266
68079	TV201
68079	TV204
321192	TV185
321192	TV189
321192	TV214
321192	TV259
321192	TV201
321192	TV204
362476	TV234
362476	TV189
362476	TV214
362476	TV215
362476	TV259
362476	TV266
690972	TV232
690972	TV216
690972	TV569
690972	TV253
690972	TV159
690972	TV252
596917	TV239
596917	TV128
596917	TV185
596917	TV235
596917	TV214
596917	TV215
107297	TV248
107297	TV239
107297	TV235
107297	TV215
107297	TV231
107297	TV232
469204	TV189
469204	TV214
469204	TV215
469204	TV201
469204	TV237
469204	TV216
227501	TV215
227501	TV237
227501	TV232
227501	TV216
227501	TV276
227501	TV221
311520	TV189
311520	TV235
311520	TV215
311520	TV237
311520	TV216
311520	TV253
120568	TV248
120568	TV239
120568	TV214
120568	TV215
120568	TV259
120568	TV266
360982	TV235
360982	TV214
360982	TV232
360982	TV216
360982	TV276
360982	TV159
253234	TV239
253234	TV185
253234	TV189
253234	TV235
253234	TV214
253234	TV215
103034	TV234
103034	TV128
103034	TV185
103034	TV189
103034	TV214
103034	TV259
380397	TV235
380397	TV266
380397	TV569
380397	TV202
380397	TV252
380397	TV138
319210	TV248
319210	TV234
319210	TV189
319210	TV214
319210	TV215
319210	TV266
650824	TV234
650824	TV128
650824	TV185
650824	TV189
650824	TV214
650824	TV215
614873	TV231
614873	TV201
